,30y,20y,10y,5y,2y,1y,3m_tbil,3m_ib,date
102,4.378,4.4775,4.1775,3.979,3.871,3.6409999999999996,3.2875,3.77,2005-07-31
103,4.441739130434782,4.528260869565218,4.262608695652174,4.122173913043478,4.044347826086956,3.8721739130434782,3.5182608695652173,3.87,2005-08-31
104,4.451904761904761,4.513809523809523,4.199047619047619,4.006190476190476,3.9461904761904765,3.8452380952380953,3.494285714285714,4.13,2005-09-30
105,4.6405,4.739,4.4635,4.3285,4.271,4.1754999999999995,3.7924999999999995,4.31,2005-10-31
106,4.704,4.8305,4.535,4.4525,4.4165,4.334,3.9745,4.45,2005-11-30
107,4.62,4.734761904761905,4.467142857142857,4.392380952380953,4.404285714285714,4.352857142857142,3.970952380952381,4.56,2005-12-31
108,4.5715,4.6515,4.416,4.3454999999999995,4.3955,4.445,4.336,4.72,2006-01-31
109,4.574210526315789,4.734210526315789,4.568947368421052,4.572105263157895,4.6684210526315795,4.684736842105264,4.5394736842105265,4.88,2006-02-28
110,4.734347826086957,4.9134782608695655,4.7239130434782615,4.716086956521739,4.73391304347826,4.773478260869565,4.627826086956522,5.03,2006-03-31
111,5.062631578947368,5.224210526315789,4.990526315789474,4.902105263157895,4.888947368421053,4.897368421052631,4.721578947368421,5.15,2006-04-30
112,5.201363636363637,5.346363636363637,5.11,4.997727272727273,4.968181818181818,4.995,4.836363636363637,5.35,2006-05-31
113,5.154090909090909,5.292272727272728,5.106363636363636,5.067272727272727,5.121818181818182,5.155,4.917727272727273,5.46,2006-06-30
114,5.1345,5.2509999999999994,5.0875,5.04,5.1185,5.217499999999999,5.0765,5.38,2006-07-31
115,4.996086956521739,5.078695652173913,4.8765217391304345,4.822173913043478,4.903478260869565,5.0826086956521745,5.090434782608695,5.34,2006-08-31
116,4.852,4.9275,4.718999999999999,4.6674999999999995,4.769,4.9745,4.93,5.33,2006-09-30
117,4.854761904761905,4.935714285714286,4.729047619047619,4.6866666666666665,4.795714285714285,5.01,5.046190476190477,5.32,2006-10-31
118,4.685714285714286,4.784285714285714,4.595238095238095,4.582380952380952,4.7404761904761905,5.010952380952381,5.073333333333333,5.32,2006-11-30
119,4.6825,4.776,4.5645,4.5329999999999995,4.6735,4.9415,4.973,5.32,2006-12-31
120,4.851904761904762,4.945714285714286,4.7595238095238095,4.752857142857143,4.876190476190477,5.057142857142857,5.105238095238095,5.31,2007-01-31
121,4.821578947368421,4.925789473684211,4.722631578947369,4.7105263157894735,4.848947368421053,5.053684210526316,5.163157894736842,5.3,2007-02-28
122,4.721818181818182,4.808181818181819,4.5645454545454545,4.4809090909090905,4.573636363636364,4.920454545454546,5.079999999999999,5.31,2007-03-31
123,4.866190476190476,4.945714285714286,4.6938095238095245,4.593333333333333,4.666190476190476,4.932380952380952,5.006666666666667,5.31,2007-04-30
124,4.901363636363636,4.977727272727273,4.746363636363636,4.667272727272728,4.766363636363637,4.909090909090909,4.867727272727273,5.33,2007-05-31
125,5.203333333333333,5.288095238095238,5.102857142857142,5.026190476190476,4.980476190476191,4.962380952380952,4.741904761904761,5.32,2007-06-30
126,5.108095238095238,5.185714285714286,5.0042857142857144,4.884761904761905,4.819047619047619,4.964285714285714,4.9609523809523814,5.49,2007-07-31
127,4.932173913043478,5.0,4.674782608695652,4.432173913043478,4.3130434782608695,4.472173913043478,4.31695652173913,5.46,2007-08-31
128,4.793157894736842,4.836315789473685,4.521578947368421,4.198947368421052,4.011578947368421,4.136842105263158,3.9942105263157894,5.08,2007-09-30
129,4.7736363636363635,4.832272727272727,4.527727272727272,4.198181818181818,3.967727272727273,4.096818181818182,4.002727272727273,4.97,2007-10-31
