,Inflation,Domestic Growth,Trade Balance,Value of Currency,date,country,one_month_10y,three_month_10y,six_month_10y,twelve_month_10y,one_month_3m_ib,two_month_3m_ib,three_month_3m_ib,six_month_3m_ib,twelve_month_3m_ib
0,16.20458791255951,16.079428104890717,20.593807451865253,13.284071127573648,2015-07-22,australia,-0.06297056810403834,-0.09069130732375086,-0.0732375085557837,-0.3374401095140316,0.0,0.014018691588784993,0.004672897196261516,0.0747663551401867,-0.0981308411214954
1,17.552602153558,7.687599062919617,17.293698613842327,12.536171935498714,2006-07-04,united states,-0.04146992842645025,-0.07045747045747053,-0.06446706446706452,-0.01635661635661656,-0.0074349442379182396,-0.009293680297397744,-0.011152416356877248,-0.013011152416356975,0.020446096654275214
2,16.22637890279293,17.836802575257746,15.999982515159918,15.829628392269736,2018-04-30,united kingdom,-0.006089489012443661,-0.09061424410908125,0.023431294678316172,-0.21194069367222657,-0.14906980126671,-0.1555091300955982,-0.013354665538351851,0.0659667587830064,0.08424017242063231
3,21.555843710899353,16.92207864739678,14.482428232828775,19.547964371740818,2003-07-24,japan,0.4707112970711296,0.5031380753138075,0.39121338912133896,0.891213389121339,0.0235294117647058,0.04705882352941182,0.03529411764705892,-0.16470588235294115,-0.3647058823529411
4,14.414970170367848,14.257596552371979,15.15746924383887,13.895608851542839,2008-07-02,united states,-0.030444433642800695,-0.048315753657706795,-0.3718384938187592,-0.11114891686514683,0.28673835125448033,0.5483870967741937,-0.15412186379928317,-0.5842293906810037,-0.8924731182795699
5,17.583598064051735,19.87606640656789,17.74442772070567,12.53436976008945,2010-05-06,united states,-0.06313131313131337,-0.21092503987240818,-0.1921052631578949,-0.07351712614870509,-0.21153846153846156,-0.3846153846153846,-0.46153846153846145,-0.42307692307692313,-0.5769230769230769
6,11.407010753949484,21.355380849404767,17.581574618816376,17.004918908250744,2000-06-15,switzerland,-0.007984031936127733,-0.013473053892215536,-0.11377245508982037,-0.15593812375249505,0.02735013957379362,0.03295723046266086,0.037091545070651266,0.0164226887903014,-0.03094061741767762
7,17.151368690861595,15.104853808879852,17.749440826867755,11.136755810843574,2006-05-16,united states,-0.0007116171499733648,-0.04569046200969973,-0.10073618488491298,-0.0711617149973316,0.020560747663551426,0.005607476635514086,-0.0018691588785045843,-0.005607476635513864,-0.0037383177570092796
8,16.521782479724106,18.071502524393576,17.677320957183838,14.837952703237534,2021-06-15,united kingdom,-0.1836472102000234,-0.061527664054275344,-0.02035325769095797,1.7867586852263422,0.0,-0.12499999999999989,-0.12499999999999989,1.0,18.625
9,16.73137853091413,14.677456238053061,15.07166177034378,18.933132390181225,2004-01-04,united kingdom,0.0037806788511749456,0.03540469973890348,0.06700783289817247,-0.05130026109660568,0.027428236065800027,0.05953182370768206,0.08369520455896096,0.197693887766903,0.2016738547731245
10,15.67142148812612,14.088843864638632,17.737228045096764,15.781714882169451,2014-07-03,united kingdom,-0.07299857367516371,-0.1782540321105951,-0.41886406027136747,-0.21906886588889296,0.008590787369026298,0.011682033033194816,0.0035046099099584893,0.011124889919303937,0.04390647184630003
11,18.299985428651173,18.7777533974403,18.950624788800877,17.65456919670105,2000-11-07,euro area,-0.050166775158064114,-0.05896746931056551,-0.013715758452098048,-0.1253894957373375,-0.030007465572154057,-0.0630852592771125,-0.06601680012140276,-0.0894102104032195,-0.33509190077037654
12,14.290735793334466,13.588220119476318,14.397782724012028,12.452952116727829,2012-05-24,united kingdom,-0.08848372476308197,-0.13808199423156164,-0.08626905644829008,0.0023691800576843836,-0.05494527363184076,-0.18671641791044769,-0.29869651741293524,-0.4780895522388059,-0.4968855721393034
13,13.346437265475592,18.129673046725138,17.24935478177564,14.459982514381409,2009-09-21,united kingdom,-0.023710550784882156,0.06303670076026924,0.11893562325657703,-0.14480665098725598,-0.057348084544253664,0.006208718626155907,-0.0003137384412154054,0.06586856010568032,0.2030878467635402
14,16.320496439933777,14.545672431588173,17.026824752489727,17.129739435707652,2007-11-26,euro area,0.030629250193715984,-0.02638324034620454,0.04039252596877119,-0.012963328328657875,0.045234647059795074,-0.03384681718407023,-0.05959847093431159,0.047177612029446925,-0.08628684540608256
15,14.118471084496914,17.46088806125853,15.247292691155485,13.5383654492242,2019-05-14,united kingdom,-0.1867256637168141,-0.4888495575221239,-0.32300884955752207,-0.7572566371681416,-0.025000000000000022,-0.03749999999999998,-0.050000000000000044,-0.012499999999999956,-0.5875
16,13.426815529664358,21.99354350566864,16.263802647590637,18.994124457240105,2014-04-16,canada,-0.05298013245032729,-0.10234798314268523,-0.17764812125933704,-0.4228671601090759,-0.001079913606911398,0.009719222462203136,0.023758099352051643,-0.03455723542116629,-0.33261339092872577
17,14.463701620697975,15.61506865116266,15.748434118602587,14.725414849817753,2011-05-19,canada,-0.05208834072710822,-0.22384595311019073,-0.3266354434204567,-0.39012347374637646,-0.03584415584415579,-0.04155844155844157,-0.09194805194805189,-0.08363636363636362,0.02649350649350657
18,15.180190948408042,17.44166939154915,17.042033189818973,15.021858671132255,2009-06-23,united kingdom,0.027323285242201845,-0.01759759275677708,0.04432981381478207,-0.03261599634614876,-0.1933981646349815,-0.37664461757857515,-0.512073285690115,-0.5122263670568898,-0.4131424381833271
19,11.915840276262976,18.378908455371857,14.313853653994473,13.497447823033188,2020-11-19,euro area,0.6539881045797893,-2.162130823792465,-7.811180861997662,-6.643555903635928,0.03308731860569458,0.05047997805814597,0.038864509051014684,0.03693545437922796,0.08928838577768827
